day_of_year,solar_flux_w_m2,eclipse_duration_min,eclipse_fraction,beta_angle_deg,incidence_angle_deg,t_sunlit_c,t_eclipse_min_c,t_orbital_avg_c
32,1401.8377501641994,0.0,0.0,-17.507491285785086,72.49250871421492,40.37198417986957,40.37198417986957,40.37198417986957
33,1401.440353261396,0.0,0.0,-17.236539658417474,72.76346034158253,40.349816809073104,40.349816809073104,40.349816809073104
34,1401.0308982660454,0.0,0.0,-16.960487461655678,73.03951253834434,40.326971900955414,40.326971900955414,40.326971900955414
35,1400.6095222375552,0.0,0.0,-16.67941638378597,73.32058361621404,40.30345666130336,40.30345666130336,40.30345666130336
36,1400.1763660505076,0.0,0.0,-16.39340959826229,73.60659040173772,40.27927850250768,40.27927850250768,40.27927850250768
37,1399.7315743326121,0.0,0.0,-16.102551739093894,73.89744826090612,40.254445040811106,40.254445040811106,40.254445040811106
38,1399.2752954012399,0.0,0.0,-15.806928875800747,74.19307112419926,40.22896409348738,40.22896409348738,40.22896409348738
39,1398.807681198585,0.0,0.0,-15.506628487944223,74.49337151205579,40.202843675952295,40.202843675952295,40.202843675952295
40,1398.3288872255027,0.0,0.0,-15.201739439240452,74.79826056075956,40.17609199880894,40.17609199880894,40.17609199880894
41,1397.8390724740664,0.0,0.0,-14.892351951264143,75.10764804873587,40.14871746482788,40.14871746482788,40.14871746482788
42,1397.3383993588982,0.0,0.0,-14.578557576750548,75.42144242324946,40.12072866586493,40.12072866586493,40.12072866586493
43,1396.8270336473224,0.0,0.0,-14.260449172503554,75.73955082749644,40.09213437971772,40.09213437971772,40.09213437971772
44,1396.305144388383,0.0,0.0,-13.938120871917853,76.06187912808215,40.06294356692234,40.06294356692234,40.06294356692234
45,1395.7729038407854,0.0,0.0,-13.611668057123348,76.38833194287665,40.03316536749276,40.03316536749276,40.03316536749276
46,1395.2304873998066,0.0,0.0,-13.281187330760059,76.71881266923995,40.002809097603745,40.002809097603745,40.002809097603745
47,1394.6780735232253,0.0,0.0,-12.946776487391842,77.05322351260817,39.97188424621976,39.97188424621976,39.97188424621976
48,1394.1158436563235,0.0,0.0,-12.6085344845674,77.39146551543261,39.940400471671126,39.940400471671126,39.940400471671126
49,1393.5439821560126,0.0,0.0,-12.26656141353716,77.73343858646284,39.90836759817978,39.90836759817978,39.90836759817978
50,1392.9626762141284,0.0,0.0,-11.920958469634662,78.07904153036534,39.87579561233565,39.87579561233565,39.87579561233565
51,1392.3721157799566,0.0,0.0,-11.571827922331215,78.42817207766879,39.84269465952627,39.84269465952627,39.84269465952627
52,1391.772493482028,0.0,0.0,-11.219273084972743,78.78072691502726,39.809075040321034,39.809075040321034,39.809075040321034
53,1391.1640045492463,0.0,0.0,-10.86339828420768,79.13660171579231,39.774947206811646,39.774947206811646,39.774947206811646
54,1390.5468467313908,0.0,0.0,-10.504308829115047,79.49569117088495,39.74032175891159,39.74032175891159,39.74032175891159
55,1389.9212202190483,0.0,0.0,-10.142110980041803,79.85788901995821,39.70520944061525,39.70520944061525,39.70520944061525
56,1389.2873275630275,0.0,0.0,-9.776911917158689,80.2230880828413,39.669621136219234,39.669621136219234,39.669621136219234
57,1388.6453735933014,0.0,0.0,-9.408819708743897,80.5911802912561,39.63356786650786,39.63356786650786,39.63356786650786
58,1387.9955653375316,0.0,0.0,-9.037943279203937,80.96205672079607,39.59706078490433,39.59706078490433,39.59706078490433
59,1387.3381119392234,0.0,0.0,-8.664392376841134,81.33560762315886,39.560111173589064,39.560111173589064,39.560111173589064
60,1386.673224575559,21.460707897715622,0.014903269373413627,-8.288277541377354,81.71172245862266,39.52273043958837,-146.93399248720792,38.38247881385439
61,1386.0011163749648,29.995040912438235,0.02082988952252655,-7.90971007124352,82.09028992875649,39.48493011083383,-159.3870092090276,37.8730130365891
62,1385.322002334451,36.29630129370354,0.025205764787294128,-7.528801990644604,82.47119800935538,39.446721832195124,-166.07491669342085,37.485651841623564
63,1384.636099236781,41.39708936947696,0.028747978728803445,-7.145666016409881,82.85433398359012,39.408117361487655,-170.51639505728286,37.16382332620054
64,1383.9436255675118,45.7011492341529,0.03173690919038396,-6.760415524638192,83.23958447536182,39.3691285654574,-173.72801927074107,36.8854785328233
65,1383.2448014319577,49.41709812177218,0.03431742925123068,-6.373164517148132,83.62683548285185,39.32976741574424,-176.1550483624025,36.63922919291582
66,1382.539848472118,52.66956089268354,0.03657608395325246,-5.984027587743093,84.0159724122569,39.2900459848255,-178.16859493978447,36.41813237485792
67,1381.8289897836173,55.54002354047064,0.0385694607919935,-5.593119888301094,84.40688011169888,39.24997644194269,-179.75535706456327,36.21790640347899
68,1381.1124498327051,58.08514696134168,0.04033690761204283,-5.2005570946995,84.79944290530052,39.20957104901112,-181.0711322637582,36.035395402872325
69,1380.3904543733527,60.346109175007996,0.04190702026042222,-4.806455372584665,85.1935446274153,39.168842156516575,-182.2347985716811,35.868297336054695
70,1379.663230364499,62.35382907247958,0.043301270189221926,-4.410931342996654,85.58906865700334,39.12780219939873,-183.18691267118226,35.715042185271614
71,1378.9310058874787,64.13209508377776,0.04453617714151233,-4.014102047859187,85.98589795214083,39.08646369292455,-183.95069090090252,35.57434965776304
72,1378.1940100636828,65.69954149053184,0.045624681590647115,-3.6160849153450663,86.38391508465492,39.04483922855269,-184.68914576199145,35.44506229534869
73,1377.4524729724856,67.07095046809918,0.04657704893617999,-3.216997725127283,86.78300227487271,39.002941469790414,-185.2626936928397,35.326552010196735
74,1376.7066255694826,68.25813910237378,0.04740148548775957,-2.816958573526119,87.18304142647395,38.96078314804555,-185.75257385537805,35.21811124259244
75,1375.9566996050746,69.27057978060019,0.04810456929208346,-2.4160858385625423,87.58391416143748,38.91837705847422,-186.16393029240734,35.1192389206862
76,1375.202927543439,70.11584275296616,0.04869155746733761,-2.0144981449282526,87.98550185507169,38.87573605582696,-186.50091668397926,35.029536386997336
77,1374.445542481924,70.7999159545656,0.04916660830178167,-1.612314328882719,88.38768567111724,38.83287305029381,-186.76682596388713,34.94869026430496
78,1373.6847780708983,71.3274372579383,0.04953294254023493,-1.209653403087626,88.7903465969125,38.78980100335082,-186.96418825234164,34.87645999694308
79,1372.9208684340992,71.70186207340356,0.049792959773196914,-0.8066345213891079,89.19336547861106,38.74653292360921,-187.15975829604866,34.81259840134504
80,1372.1540480895042,71.92558137546297,0.04994832039962706,-0.40337694355820886,89.59662305644171,38.70308186266891,-187.22470964672578,34.75712721677667
81,1371.3845518707642,72.0,0.05,0.0,90.0,38.65946091097777,-187.22494257774486,34.70990963713501
82,1370.6126148492287,71.92558137546297,0.04994832039962706,0.40337694355820886,89.59662305644171,38.615683193698146,-187.2251764828021,34.67086006842902
83,1369.838472256592,71.70186207340356,0.049792959773196914,0.8066345213891079,89.19336547861106,38.571761866582335,-187.16069464984497,34.64008298085173
84,1369.0623594081947,71.3274372579383,0.04953294254023493,1.209653403087626,88.7903465969125,38.527710111858255,-186.96560525592912,34.61773421027232
85,1368.284511627,70.7999159545656,0.04916660830178167,1.612314328882719,88.38768567111724,38.48354113412677,-186.76873201232516,34.603810445323234
86,1367.5051641682855,70.11584275296616,0.04869155746733761,2.0144981449282526,87.98550185507169,38.43926815627242,-186.50332765970876,34.59857746252351
87,1366.7245521450604,69.27057978060019,0.04810456929208346,2.4160858385625423,87.58391416143748,38.39490441538817,-186.16686716833755,34.6022939736219
88,1365.9429104542485,68.25813910237378,0.04740148548775957,2.816958573526119,87.18304142647395,38.35046315871665,-185.75606329497057,34.61529107957335
89,1365.1604737036507,67.07095046809918,0.04657704893617999,3.216997725127283,86.78300227487271,38.30595763960764,-185.26676884931584,34.637984597624836
90,1364.377476139713,65.69954149053184,0.045624681590647115,3.6160849153450663,86.38391508465492,38.26140111349491,-184.69384732736415,34.67089203072243
91,1363.5941515761263,64.13209508377776,0.04453617714151233,4.014102047859187,85.98589795214083,38.216806833892576,-183.95608660565804,34.71473706938531
92,1362.8107333232658,62.35382907247958,0.043301270189221926,4.410931342996654,85.58906865700334,38.1721880484115,-183.19304770394342,34.77016086899124
93,1362.0274541185079,60.346109175007996,0.04190702026042222,4.806455372584665,85.1935446274153,38.127557994799304,-182.241771580761,34.838334923202865
94,1361.2445460574243,58.08514696134168,0.04033690761204283,5.2005570946995,84.79944290530052,38.082929897002316,-181.07907124206548,34.92055032133561
95,1360.4622405258854,55.54002354047064,0.0385694607919935,5.593119888301094,84.40688011169888,38.03831696125292,-179.76439453114295,35.018383905067196
96,1359.6807681330777,52.66956089268354,0.03657608395325246,5.984027587743093,84.0159724122569,37.99373237218174,-178.17893897439475,35.13414219448879
97,1358.9003586454594,49.41709812177218,0.03431742925123068,6.373164517148132,83.62683548285185,37.949189288957086,-176.1670307392555,35.27097984442503
98,1358.1212409216614,45.7011492341529,0.03173690919038396,6.760415524638192,83.23958447536182,37.904700841451245,-173.74205246111603,35.43316504645833
99,1357.3436428483508,41.39708936947696,0.028747978728803445,7.145666016409881,82.85433398359012,37.86028012643635,-170.53324277837635,35.62761500268999
100,1356.567791277063,36.29630129370354,0.025205764787294128,7.528801990644604,82.47119800935538,37.81594020380885,-166.09595198150407,35.86566003978254
101,1355.7939119620264,29.995040912438235,0.02082988952252655,7.90971007124352,82.09028992875649,37.77169409284585,-159.41518316491562,36.16922185868992
102,1355.0222294989674,21.460707897715622,0.014903269373413627,8.288277541377354,81.71172245862266,37.72755476849136,-146.97877166824054,36.59452908498224
103,1354.2529672649275,0.0,0.0,8.664392376841134,81.33560762315886,37.683535157676374,37.683535157676374,37.683535157676374
104,1353.4863473590847,0.0,0.0,9.037943279203937,80.96205672079607,37.63964813567134,37.63964813567134,37.63964813567134
105,1352.7225905445919,0.0,0.0,9.408819708743897,80.5911802912561,37.59590652247283,37.59590652247283,37.59590652247283
106,1351.961916191436,0.0,0.0,9.776911917158689,80.2230880828413,37.55232307922506,37.55232307922506,37.55232307922506
107,1351.2045422203262,0.0,0.0,10.142110980041803,79.85788901995821,37.50891050467726,37.50891050467726,37.50891050467726
